label,facets,points,closed_solid,has_nonmanifold,has_nonuniform_orientation,has_invalid_points,components,volume_mm3,dx_mm,dy_mm,dz_mm
T8-10 - AprilRootDGR-4 neuro_dorsal _roots_football_csf_coating_r-1,11814,5911,True,False,False,False,2,29.4115,8.083,5.443,5.784
T8-10 - AprilRootDGR-4 neuro_dorsal _roots_football_in_middle-1,6020,3012,True,False,False,False,1,101.276,7.576,4.943,5.286
T8-10 - AprilRootDGR-4 neuro_dorsal _roots_football_menging_coating_r-1,12018,6013,True,False,False,False,2,37.7917,8.691,6.33,6.659
T8-10 - AprilRootDGR_right-1 neuro_dorsal _roots_football_csf_coating_l-1,11116,5562,True,False,False,False,2,29.9062,8.116,5.512,5.731
T8-10 - AprilRootDGR_right-1 neuro_dorsal _roots_football_in_middle_R-1,5600,2802,True,False,False,False,1,100.2292,7.605,5.016,5.232
T8-10 - AprilRootDGR_right-2 neuro_dorsal _roots_football_csf_coating_l-1,11116,5562,True,False,False,False,2,29.3958,8.098,5.534,5.734
T8-10 - AprilRootDGR_right-2 neuro_dorsal _roots_football_in_middle_R-1,5600,2802,True,False,False,False,1,99.9323,7.588,5.036,5.239
T8-10 - AprilRootDGR_right-3 neuro_dorsal _roots_football_in_middle_R-1,5600,2802,True,False,False,False,1,100.0312,7.652,5.016,5.155
T8-10 - AprilRootDGR_right-4 neuro_dorsal _roots_football_csf_coating_l-1,11116,5562,True,False,False,False,2,29.5833,8.163,5.512,5.655
T8-10 - AprilRootDGR_right-4 neuro_dorsal _roots_football_in_middle_R-1,5600,2802,True,False,False,False,1,99.7604,7.652,5.016,5.155
T8-10 - AprilRootMainRootL-1 AprilDorsalRootsInsideL-1,4770,2387,True,False,False,False,1,50.9505,36.646,5.749,13.148
T8-10 - AprilRootMainRootL-1 AprilDorsalRootsMiddleL-1,14072,7036,True,False,False,False,1,27.2865,19.289,4.276,11.322
T8-10 - AprilRootMainRootL-1 AprilDorsalRootsOutsideMengingesL-1,20550,10275,True,False,False,False,1,65.9167,37.185,6.741,14.122
T8-10 - AprilRootMainRootL-2 AprilDorsalRootsInsideL-1,4770,2387,True,False,False,False,1,51.0677,36.821,1.921,13.148
T8-10 - AprilRootMainRootL-2 AprilDorsalRootsMiddleL-1,14072,7036,True,False,False,False,1,27.4427,19.417,2.299,11.322
T8-10 - AprilRootMainRootL-2 AprilDorsalRootsOutsideMengingesL-1,20550,10275,True,False,False,False,1,64.2552,37.412,2.919,14.122
T8-10 - AprilRootMainRootL-3 AprilDorsalRootsInsideL-1,4770,2387,True,False,False,False,1,50.4681,36.821,3.155,13.02
T8-10 - AprilRootMainRootL-3 AprilDorsalRootsMiddleL-1,14072,7036,True,False,False,False,1,27.0964,19.417,3.293,11.22
T8-10 - AprilRootMainRootL-3 AprilDorsalRootsOutsideMengingesL-1,20550,10275,True,False,False,False,1,64.1185,37.412,4.157,13.992
T8-10 - AprilRootMainRootL-4 AprilDorsalRootsInsideL-1,4770,2387,True,False,False,False,1,50.4896,36.821,3.155,13.02
T8-10 - AprilRootMainRootL-4 AprilDorsalRootsMiddleL-1,14072,7036,True,False,False,False,1,27.138,19.417,3.293,11.22
T8-10 - AprilRootMainRootL-4 AprilDorsalRootsOutsideMengingesL-1,20550,10275,True,False,False,False,1,64.2201,37.412,4.157,13.992
T8-10 - AprilRootMainRootR-1 AprilDorsalRootsInsideR-1,14032,7018,True,False,False,False,1,67.0729,43.864,3.942,17.978
T8-10 - AprilRootMainRootR-1 AprilDorsalRootsMiddleR-1,25958,12979,True,False,False,False,1,35.6667,24.69,3.923,15.211
T8-10 - AprilRootMainRootR-2 AprilDorsalRootsInsideR-1,14032,7018,True,False,False,False,1,66.2135,43.639,7.07,17.816
T8-10 - AprilRootMainRootR-2 AprilDorsalRootsMiddleR-1,25958,12979,True,False,False,False,1,35.5885,24.518,5.868,15.082
T8-10 - AprilRootMainRootR-3 AprilDorsalRootsInsideR-1,14032,7018,True,False,False,False,1,67.3906,43.864,4.814,17.816
T8-10 - AprilRootMainRootR-3 AprilDorsalRootsMiddleR-1,25958,12979,True,False,False,False,1,36.2917,24.69,4.623,15.082
T8-10 - AprilRootMainRootR-4 AprilDorsalRootsInsideR-1,14032,7018,True,False,False,False,1,65.75,43.864,3.064,18.09
T8-10 - AprilRootMainRootR-4 AprilDorsalRootsMiddleR-1,25958,12979,True,False,False,False,1,36.4479,24.69,3.22,15.305
T8-10 - Assem1SmallRoot-1 smallRoot-1,4686,2345,True,False,False,False,1,1.9974,4.216,1.604,3.658
T8-10 - Assem1SmallRoot-1 smallRoot1-1,3072,1538,True,False,False,False,1,11.9453,4.392,6.678,22.744
T8-10 - Assem1SmallRoot-1 smallRoot2-1,3160,1582,True,False,False,False,1,10.7604,4.441,5.928,19.939
T8-10 - Assem1SmallRoot-1 smallRoot3-1,2834,1419,True,False,False,False,1,6.638,3.497,3.918,12.299
T8-10 - Assem1SmallRoot-1 smallRoot4-1,4420,2212,True,False,False,False,1,5.2812,3.792,3.304,9.999
T8-10 - Assem1SmallRoot-1 smallRoot5-1,3236,1620,True,False,False,False,1,8.6849,4.23,5.275,17.371
T8-10 - Assem1SmallRoot-1 smallRoot6-1,3648,1826,True,False,False,False,1,2.7396,3.165,2.097,5.405
T8-10 - Assem1SmallRoot-10 smallRoot-1,4686,2345,True,False,False,False,1,1.6146,4.374,1.305,3.484
T8-10 - Assem1SmallRoot-10 smallRoot1-1,3072,1538,True,False,False,False,1,11.8542,5.661,3.471,23.055
T8-10 - Assem1SmallRoot-10 smallRoot2-1,3160,1582,True,False,False,False,1,10.0521,5.501,3.154,20.172
T8-10 - Assem1SmallRoot-10 smallRoot3-1,2834,1419,True,False,False,False,1,6.7917,4.169,2.256,12.392
T8-10 - Assem1SmallRoot-10 smallRoot4-1,4420,2212,True,False,False,False,1,5.6146,4.328,2.009,10.011
T8-10 - Assem1SmallRoot-10 smallRoot5-1,3236,1620,True,False,False,False,1,9.3229,5.168,2.862,17.558
T8-10 - Assem1SmallRoot-10 smallRoot6-1,3648,1826,True,False,False,False,1,2.8646,3.443,1.468,5.334
T8-10 - Assem1SmallRoot-11 smallRoot-1,4686,2345,True,False,False,False,1,2.3021,3.91,2.392,3.682
T8-10 - Assem1SmallRoot-11 smallRoot1-1,3072,1538,True,False,False,False,1,11.4688,4.02,3.543,23.399
T8-10 - Assem1SmallRoot-11 smallRoot2-1,3160,1582,True,False,False,False,1,10.7083,3.892,3.391,20.501
T8-10 - Assem1SmallRoot-11 smallRoot3-1,2834,1419,True,False,False,False,1,6.5312,3.168,2.571,12.614
T8-10 - Assem1SmallRoot-11 smallRoot4-1,4420,2212,True,False,False,False,1,5.2396,3.403,2.555,10.233
