7.24117760e+04,9.70681830e+04,1.87125490e-01
7.23306460e+04,9.63035370e+04,1.86756860e-01
7.22004850e+04,9.62702040e+04,1.86756860e-01
7.24163200e+04,9.63542610e+04,1.86887080e-01
7.22735380e+04,9.72649900e+04,1.87050440e-01
7.23436770e+04,9.68862620e+04,1.87052120e-01
7.21554610e+04,9.64242220e+04,1.86916040e-01
7.18224500e+04,9.64265610e+04,1.86703040e-01
7.22296090e+04,9.68688130e+04,1.87073460e-01
7.20546840e+04,9.72251890e+04,1.86982230e-01
7.21054380e+04,9.70272270e+04,1.86995890e-01
7.23258550e+04,9.63752120e+04,1.86887080e-01
7.22693650e+04,9.63925940e+04,1.86887080e-01
7.21036790e+04,9.65687330e+04,1.86953610e-01
7.22662960e+04,9.65859440e+04,1.86871610e-01
7.27100820e+04,9.70304460e+04,1.87169690e-01
7.24339560e+04,9.65959580e+04,1.87073460e-01
7.24259170e+04,9.66969800e+04,1.87073460e-01
7.26368130e+04,9.69904360e+04,1.87202550e-01
7.19318320e+04,9.62872580e+04,1.85733550e-01
7.20175210e+04,9.65505540e+04,1.86916040e-01
7.20707630e+04,9.65532440e+04,1.86652120e-01
7.20430090e+04,9.64450540e+04,1.86652120e-01
7.27035250e+04,9.65664910e+04,1.87170330e-01
7.21486140e+04,9.62980690e+04,1.86871610e-01
7.23294620e+04,9.72318950e+04,1.87050440e-01
7.25264700e+04,9.67332940e+04,1.87134150e-01
7.16150400e+04,9.66541170e+04,1.86324310e-01
7.17001560e+04,9.65714900e+04,1.86324310e-01
7.20760820e+04,9.66883750e+04,1.86953610e-01
7.25332050e+04,9.71309840e+04,1.87163840e-01
7.25402680e+04,9.70232190e+04,1.87163840e-01
7.19757530e+04,9.71636620e+04,1.86995890e-01
7.21252410e+04,9.71537680e+04,1.86982230e-01
7.22985120e+04,9.62454380e+04,1.86871610e-01
7.18092470e+04,9.62648090e+04,1.86697240e-01
7.17336680e+04,9.63305830e+04,1.86697240e-01
