  0.75000000E-02,  0.16500000E-01,  0.10380269E+01
  0.81250000E-02,  0.16500000E-01,  0.10380269E+01
  0.68750000E-02,  0.16500000E-01,  0.10380269E+01
  0.75000000E-02,  0.16500000E-01,  0.10380269E+01
  0.81250000E-02,  0.19500000E-01,  0.10380269E+01
  0.75000000E-02,  0.19500000E-01,  0.10380269E+01
  0.68750000E-02,  0.19500000E-01,  0.10380269E+01
  0.75000000E-02,  0.19500000E-01,  0.10380269E+01
  0.75000000E-02,  0.20500000E-01, -0.10366162E+01
  0.81250000E-02,  0.20500000E-01, -0.10366162E+01
  0.68750000E-02,  0.20500000E-01, -0.10366162E+01
  0.75000000E-02,  0.20500000E-01, -0.10366162E+01
  0.81250000E-02,  0.23500000E-01, -0.10366162E+01
  0.75000000E-02,  0.23500000E-01, -0.10366162E+01
  0.68750000E-02,  0.23500000E-01, -0.10366162E+01
  0.75000000E-02,  0.23500000E-01, -0.10366162E+01
  0.75791449E-02,  0.16500000E-01,  0.10380269E+01
  0.76570155E-02,  0.16500000E-01,  0.10380269E+01
  0.77323581E-02,  0.16500000E-01,  0.10380269E+01
  0.78039596E-02,  0.16500000E-01,  0.10380269E+01
  0.78706673E-02,  0.16500000E-01,  0.10380269E+01
  0.79314070E-02,  0.16500000E-01,  0.10380269E+01
  0.79852009E-02,  0.16500000E-01,  0.10380269E+01
  0.80311829E-02,  0.16500000E-01,  0.10380269E+01
  0.80745670E-02,  0.16500000E-01,  0.10380269E+01
  0.81049555E-02,  0.16500000E-01,  0.10380269E+01
  0.81199686E-02,  0.16500000E-01,  0.10380269E+01
  0.68820681E-02,  0.16500000E-01,  0.10380269E+01
  0.69031125E-02,  0.16500000E-01,  0.10380269E+01
  0.69313873E-02,  0.16500000E-01,  0.10380269E+01
  0.69688171E-02,  0.16500000E-01,  0.10380269E+01
  0.70147991E-02,  0.16500000E-01,  0.10380269E+01
  0.70685930E-02,  0.16500000E-01,  0.10380269E+01
  0.71293327E-02,  0.16500000E-01,  0.10380269E+01
  0.71960404E-02,  0.16500000E-01,  0.10380269E+01
  0.72676419E-02,  0.16500000E-01,  0.10380269E+01
